Reliability Rating,Predicted Rating
5,3.386989529022863
4,2.916608500301497
6,2.4462274715801318
2,2.916608500301497
2,2.4462274715801318
3,2.916608500301497
2,3.386989529022863
2,2.916608500301497
4,2.916608500301497
3,2.916608500301497
5,2.916608500301497
3,2.916608500301497
4,3.8573705577442285
3,2.916608500301497
5,3.8573705577442285
2,4.3277515864655935
4,3.6072634056034656
2,3.1368823768820997
6,2.6665013481607343
6,3.1368823768820997
2,2.6665013481607343
6,3.1368823768820997
4,3.6072634056034656
5,3.1368823768820997
4,3.1368823768820997
5,3.1368823768820997
6,3.1368823768820997
4,3.1368823768820997
4,4.0776444343248315
6,3.1368823768820997
5,4.0776444343248315
4,4.548025463046196
3,3.4971264673131643
5,3.0267454385917985
5,2.556364409870433
2,3.0267454385917985
5,2.556364409870433
6,3.0267454385917985
4,3.4971264673131643
4,3.0267454385917985
4,3.0267454385917985
4,3.0267454385917985
6,3.0267454385917985
5,3.0267454385917985
4,3.96750749603453
4,3.0267454385917985
5,3.96750749603453
5,4.437888524755895
3,3.6072634056034656
6,3.1368823768820997
6,2.6665013481607343
1,3.1368823768820997
4,2.6665013481607343
2,3.1368823768820997
3,3.6072634056034656
2,3.1368823768820997
2,3.1368823768820997
6,3.1368823768820997
6,3.1368823768820997
2,3.1368823768820997
4,4.0776444343248315
3,3.1368823768820997
3,4.0776444343248315
3,4.548025463046196
3,3.386989529022863
2,2.916608500301497
6,2.4462274715801318
6,2.916608500301497
4,2.4462274715801318
2,2.916608500301497
2,3.386989529022863
2,2.916608500301497
4,2.916608500301497
4,2.916608500301497
5,2.916608500301497
2,2.916608500301497
4,3.8573705577442285
4,2.916608500301497
5,3.8573705577442285
3,4.3277515864655935
4,3.4971264673131643
3,3.0267454385917985
5,2.556364409870433
5,3.0267454385917985
2,2.556364409870433
5,3.0267454385917985
2,3.4971264673131643
4,3.0267454385917985
4,3.0267454385917985
2,3.0267454385917985
4,3.0267454385917985
3,3.0267454385917985
4,3.96750749603453
4,3.0267454385917985
3,3.96750749603453
5,4.437888524755895
